name,slug,website_url,logo_url,description_en,description_fr,category,country,established,is_featured,status
ACCUTOME,accutome,https://www.accutome.com/,https://www.accutome.com/images/logo.png,"Leading manufacturer of ophthalmic diagnostic and surgical instruments, specializing in ultrasound systems, surgical tools, and innovative eye care solutions for medical professionals worldwide.","Fabricant leader d'instruments de diagnostic et de chirurgie ophtalmiques, spécialisé dans les systèmes d'échographie, les outils chirurgicaux et les solutions innovantes de soins oculaires pour les professionnels de la santé dans le monde entier.",Ophthalmic Equipment,USA,1996,false,active
AKTIVE GROUP,aktive-group,https://www.aktivegroup.com/,https://www.aktivegroup.com/wp-content/uploads/2021/03/aktive-logo.png,"Innovative medical technology company focused on developing advanced ophthalmic devices and solutions for vision care professionals, emphasizing quality and precision in eye healthcare.","Entreprise de technologie médicale innovante axée sur le développement d'appareils ophtalmiques avancés et de solutions pour les professionnels des soins de la vision, mettant l'accent sur la qualité et la précision dans les soins oculaires.",Medical Technology,International,2008,false,active
CERACARTA,ceracarta,https://www.ceracarta.com/,https://via.placeholder.com/300x120/4F46E5/FFFFFF?text=CERACARTA,"Specialized manufacturer of ceramic-based medical implants and surgical materials, providing high-quality biocompatible solutions for various medical applications.","Fabricant spécialisé d'implants médicaux à base de céramique et de matériaux chirurgicaux, fournissant des solutions biocompatibles de haute qualité pour diverses applications médicales.",Medical Implants,Europe,2005,false,active
COSWEL,coswel,https://www.coswel.com/,https://www.coswel.com/images/coswel-logo.png,"Medical device manufacturer specializing in ophthalmic surgical instruments and equipment, committed to providing reliable and innovative solutions for eye care professionals.","Fabricant de dispositifs médicaux spécialisé dans les instruments et équipements chirurgicaux ophtalmiques, engagé à fournir des solutions fiables et innovantes pour les professionnels des soins oculaires.",Surgical Instruments,International,1998,false,active
ESENSA,esensa,https://www.esensa.de/,https://www.esensa.de/wp-content/uploads/2020/01/esensa-logo.png,"German medical technology company developing innovative solutions for healthcare professionals, specializing in advanced medical devices and diagnostic equipment.","Entreprise allemande de technologie médicale développant des solutions innovantes pour les professionnels de la santé, spécialisée dans les dispositifs médicaux avancés et les équipements de diagnostic.",Medical Technology,Germany,2010,false,active
FCI OPHTHALMICS,fci-ophthalmics,https://www.fci.fr/,https://www.fci.fr/wp-content/uploads/2019/06/FCI-logo.png,"Leading French manufacturer of ophthalmic surgical instruments and IOLs, renowned for innovation in cataract and vitreoretinal surgery with over 30 years of expertise.","Fabricant français leader d'instruments chirurgicaux ophtalmiques et de LIO, reconnu pour l'innovation en chirurgie de la cataracte et vitréorétinienne avec plus de 30 ans d'expertise.",Ophthalmic Surgery,France,1984,false,active
HAAG-STREIT,haag-streit,https://haag-streit.com/,https://haag-streit.com/assets/images/haag-streit-logo.png,"Swiss precision manufacturer of ophthalmic diagnostic and surgical equipment, world leader in slit lamps, surgical microscopes, and innovative eye care technology since 1858.","Fabricant suisse de précision d'équipements de diagnostic et de chirurgie ophtalmiques, leader mondial des lampes à fente, microscopes chirurgicaux et technologies innovantes de soins oculaires depuis 1858.",Ophthalmic Equipment,Switzerland,1858,true,active
HEINE OPTOTECHNIK,heine-optotechnik,https://www.heine.com/,https://www.heine.com/wp-content/uploads/2020/03/heine-logo.png,"German family-owned company manufacturing premium medical diagnostic instruments, including ophthalmoscopes, dermatoscopes, and otoscopes, known for exceptional quality and precision.","Entreprise familiale allemande fabriquant des instruments de diagnostic médical haut de gamme, notamment des ophtalmoscopes, dermatoscopes et otoscopes, reconnue pour sa qualité et sa précision exceptionnelles.",Diagnostic Instruments,Germany,1946,false,active
INAMI & CO.,inami-co,https://www.inami.com/,https://www.inami.com/images/inami-logo.png,"Japanese manufacturer of precision surgical instruments for ophthalmic and microsurgical procedures, combining traditional craftsmanship with modern technology for exceptional quality.","Fabricant japonais d'instruments chirurgicaux de précision pour les procédures ophtalmiques et microchirurgicales, combinant l'artisanat traditionnel avec la technologie moderne pour une qualité exceptionnelle.",Surgical Instruments,Japan,1948,false,active
JOHNSON & JOHNSON VISION,johnson-johnson-vision,https://www.jnj.com/,https://www.jnj.com/sites/default/files/styles/panopoly_image_original/public/media/image/jnj_logo_0.png,"Global healthcare leader providing comprehensive vision care solutions including contact lenses, surgical products, and eye health technologies, serving patients and professionals worldwide.","Leader mondial des soins de santé fournissant des solutions complètes de soins de la vision, notamment des lentilles de contact, des produits chirurgicaux et des technologies de santé oculaire, au service des patients et des professionnels du monde entier.",Vision Care,USA,1886,true,active
