name,slug,website_url,logo_url,description_en,description_fr,category,country,established,is_featured,status
ACCUTOME,accutome,https://www.accutome.com/,,"Leading manufacturer of ophthalmic diagnostic and surgical instruments, specializing in ultrasound systems, surgical tools, and innovative eye care solutions for medical professionals worldwide.","Fabricant leader d'instruments de diagnostic et de chirurgie ophtalmiques, spécialisé dans les systèmes d'échographie, les outils chirurgicaux et les solutions innovantes de soins oculaires pour les professionnels de la santé dans le monde entier.",Ophthalmic Equipment,USA,1996,false,active
AKTIVE,aktive,https://www.aktivegroup.com/,,"Innovative medical technology company focused on developing advanced ophthalmic devices and solutions for vision care professionals, emphasizing quality and precision in eye healthcare.","Entreprise de technologie médicale innovante axée sur le développement d'appareils ophtalmiques avancés et de solutions pour les professionnels des soins de la vision, mettant l'accent sur la qualité et la précision dans les soins oculaires.",Medical Technology,International,2008,false,active
CERACARTA,ceracarta,https://www.ceracarta.com/,,"Specialized manufacturer of ceramic-based medical implants and surgical materials, providing high-quality biocompatible solutions for various medical applications.","Fabricant spécialisé d'implants médicaux à base de céramique et de matériaux chirurgicaux, fournissant des solutions biocompatibles de haute qualité pour diverses applications médicales.",Medical Implants,Europe,2005,false,active
COSWEL,coswel,https://www.coswel.com/,,"Medical device manufacturer specializing in ophthalmic surgical instruments and equipment, committed to providing reliable and innovative solutions for eye care professionals.","Fabricant de dispositifs médicaux spécialisé dans les instruments et équipements chirurgicaux ophtalmiques, engagé à fournir des solutions fiables et innovantes pour les professionnels des soins oculaires.",Surgical Instruments,International,1998,false,active
ERYIGIT,eryigit,https://www.eryigit.com/,,"Turkish medical device company specializing in ophthalmic equipment and surgical instruments for eye care professionals.","Entreprise turque de dispositifs médicaux spécialisée dans les équipements ophtalmiques et les instruments chirurgicaux pour les professionnels des soins oculaires.",Medical Equipment,Turkey,2000,false,active
ESENSA,esensa,https://www.esensa.de/,,"German medical technology company developing innovative solutions for healthcare professionals, specializing in advanced medical devices and diagnostic equipment.","Entreprise allemande de technologie médicale développant des solutions innovantes pour les professionnels de la santé, spécialisée dans les dispositifs médicaux avancés et les équipements de diagnostic.",Medical Technology,Germany,2010,false,active
FCI,fci,https://www.fci.fr/,,"Leading French manufacturer of ophthalmic surgical instruments and IOLs, renowned for innovation in cataract and vitreoretinal surgery with over 30 years of expertise.","Fabricant français leader d'instruments chirurgicaux ophtalmiques et de LIO, reconnu pour l'innovation en chirurgie de la cataracte et vitréorétinienne avec plus de 30 ans d'expertise.",Ophthalmic Surgery,France,1984,false,active
FE-GROUP,fe-group,https://fegroup.com/,,"International medical technology group providing innovative solutions for ophthalmic and surgical applications.","Groupe international de technologie médicale fournissant des solutions innovantes pour les applications ophtalmiques et chirurgicales.",Medical Technology,International,2005,false,active
HAAG STREIT,haag-streit,https://haag-streit.com/en,,"Swiss precision manufacturer of ophthalmic diagnostic and surgical equipment, world leader in slit lamps, surgical microscopes, and innovative eye care technology since 1858.","Fabricant suisse de précision d'équipements de diagnostic et de chirurgie ophtalmiques, leader mondial des lampes à fente, microscopes chirurgicaux et technologies innovantes de soins oculaires depuis 1858.",Ophthalmic Equipment,Switzerland,1858,true,active
HAAG STREIT-U.K,haag-streit-uk,https://uk.haag-streit.com,,"UK division of Swiss precision manufacturer Haag-Streit, providing ophthalmic diagnostic and surgical equipment with local support and service for British eye care professionals.","Division britannique du fabricant suisse de précision Haag-Streit, fournissant des équipements de diagnostic et de chirurgie ophtalmiques avec support et service locaux pour les professionnels britanniques des soins oculaires.",Ophthalmic Equipment,United Kingdom,1858,false,active
